# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
-1 -7 7 7f7f7f
-3 -6 7 e52929
-2 -6 7 e52929
-1 -6 7 e52929
-3 -5 7 e52929
-2 -5 7 e52929
-1 -5 7 e52929
-6 -4 7 e52929
-5 -4 7 e52929
-4 -4 7 e52929
-3 -4 7 e52929
-2 -4 7 e52929
-1 -4 7 e52929
-6 -3 7 e52929
-5 -3 7 e52929
-4 -3 7 e52929
-3 -3 7 e52929
-2 -3 7 e52929
-1 -3 7 e52929
-6 -2 7 e52929
-5 -2 7 e52929
-4 -2 7 e52929
-3 -2 7 e52929
-2 -2 7 e52929
-1 -2 7 e52929
-6 -1 7 e52929
-5 -1 7 e52929
-4 -1 7 e52929
-3 -1 7 e52929
-2 -1 7 e52929
-1 -1 7 e52929
-4 -9 8 e52929
-4 -8 8 e52929
-3 -7 8 e52929
-2 -7 8 e52929
-1 -7 8 7f7f7f
-3 -6 8 e52929
-2 -6 8 e52929
-1 -6 8 e52929
-3 -5 8 e52929
-2 -5 8 e52929
-1 -5 8 e52929
-5 -4 8 e52929
-4 -4 8 e52929
-3 -4 8 e52929
-2 -4 8 e52929
-1 -4 8 e52929
-6 -3 8 e52929
-5 -3 8 e52929
-4 -3 8 e52929
-3 -3 8 e52929
-2 -3 8 e52929
-1 -3 8 e52929
-6 -2 8 e52929
-5 -2 8 e52929
-4 -2 8 e52929
-3 -2 8 e52929
-2 -2 8 e52929
-1 -2 8 e52929
-5 -1 8 e52929
-4 -1 8 e52929
-3 -1 8 e52929
-2 -1 8 e52929
-1 -1 8 e52929
-4 -9 9 e52929
-4 -8 9 e52929
-4 -7 9 e52929
-3 -7 9 e52929
-2 -7 9 e52929
-1 -7 9 7f7f7f
-3 -6 9 e52929
-2 -6 9 e52929
-1 -6 9 e52929
-3 -5 9 e52929
-2 -5 9 e52929
-1 -5 9 e52929
-3 -4 9 e52929
-2 -4 9 e52929
-1 -4 9 e52929
-3 -3 9 e52929
-2 -3 9 e52929
-1 -3 9 e52929
-3 -2 9 e52929
-2 -2 9 e52929
-1 -2 9 e52929
-3 -1 9 e52929
-2 -1 9 e52929
-1 -1 9 e52929
-4 -8 10 e52929
-4 -7 10 e52929
-3 -7 10 e52929
-2 -7 10 e52929
-1 -7 10 7f7f7f
-3 -6 10 e52929
-2 -6 10 e52929
-1 -6 10 e52929
-3 -5 10 e52929
-2 -5 10 e52929
-1 -5 10 e52929
-3 -4 10 e52929
-2 -4 10 e52929
-1 -4 10 e52929
-3 -3 10 e52929
-2 -3 10 e52929
-1 -3 10 e52929
-3 -2 10 e52929
-2 -2 10 e52929
-1 -2 10 e52929
-3 -1 10 e52929
-2 -1 10 e52929
-1 -1 10 e52929
-3 -7 11 e52929
-2 -7 11 e52929
-1 -7 11 7f7f7f
-3 -6 11 e52929
-2 -6 11 e52929
-1 -6 11 e52929
-3 -5 11 e52929
-2 -5 11 e52929
-1 -5 11 e52929
-3 -4 11 e52929
-2 -4 11 e52929
-1 -4 11 e52929
-3 -3 11 e52929
-2 -3 11 e52929
-1 -3 11 e52929
-3 -2 11 e52929
-2 -2 11 e52929
-1 -2 11 e52929
-2 -1 11 e52929
-1 -1 11 e52929
-1 -8 12 7f7f7f
-3 -7 12 e52929
-2 -7 12 e52929
-1 -7 12 e52929
-3 -6 12 e52929
-2 -6 12 e52929
-1 -6 12 e52929
-3 -5 12 e52929
-2 -5 12 e52929
-1 -5 12 e52929
-2 -4 12 e52929
-1 -4 12 e52929
-1 -3 12 ff9000
-1 -1 12 ff9000
-2 -12 13 7f7f7f
-1 -12 13 7f7f7f
-2 -11 13 7f7f7f
-1 -11 13 7f7f7f
-2 -10 13 7f7f7f
-1 -10 13 7f7f7f
-2 -9 13 7f7f7f
-1 -9 13 7f7f7f
-2 -8 13 7f7f7f
-1 -8 13 7f7f7f
-3 -7 13 e52929
-2 -7 13 e52929
-1 -7 13 e52929
-3 -6 13 e52929
-2 -6 13 e52929
-1 -6 13 e52929
-2 -5 13 e52929
-1 -5 13 e52929
-2 -12 14 e52929
-1 -12 14 e52929
-3 -11 14 e52929
-2 -11 14 e52929
-1 -11 14 e52929
-2 -10 14 7f7f7f
-1 -10 14 e52929
-2 -9 14 7f7f7f
-1 -9 14 e52929
-3 -8 14 e52929
-2 -8 14 7f7f7f
-1 -8 14 e52929
-3 -7 14 e52929
-2 -7 14 e52929
-1 -7 14 e52929
-3 -6 14 e52929
-2 -6 14 e52929
-1 -6 14 e52929
-2 -5 14 e52929
-1 -5 14 e52929
-1 -4 14 ff9000
-2 -12 15 e52929
-1 -12 15 e52929
-3 -11 15 e52929
-2 -11 15 e52929
-1 -11 15 e52929
-3 -10 15 e52929
-2 -10 15 e52929
-1 -10 15 e52929
-4 -9 15 ffe900
-3 -9 15 e52929
-2 -9 15 7f7f7f
-1 -9 15 e52929
-4 -8 15 ffe900
-3 -8 15 e52929
-2 -8 15 e52929
-1 -8 15 e52929
-4 -7 15 e52929
-3 -7 15 e52929
-2 -7 15 e52929
-1 -7 15 e52929
-4 -6 15 e52929
-3 -6 15 e52929
-2 -6 15 e52929
-1 -6 15 e52929
-3 -5 15 e52929
-2 -5 15 e52929
-1 -5 15 e52929
3 -4 0 ff9000
5 -4 0 ff9000
3 -3 0 e52929
4 -3 0 e52929
5 -3 0 e52929
3 -2 0 e52929
4 -2 0 e52929
5 -2 0 e52929
3 -1 0 e52929
4 -1 0 e52929
5 -1 0 e52929
3 -3 1 e52929
4 -3 1 e52929
5 -3 1 e52929
3 -2 1 e52929
4 -2 1 e52929
5 -2 1 e52929
3 -1 1 e52929
4 -1 1 e52929
5 -1 1 e52929
3 -2 2 e52929
4 -2 2 e52929
5 -2 2 e52929
3 -1 2 e52929
4 -1 2 e52929
5 -1 2 e52929
3 -2 3 e52929
4 -2 3 e52929
5 -2 3 e52929
3 -1 3 e52929
4 -1 3 e52929
5 -1 3 e52929
0 -5 4 7f7f7f
0 -4 4 7f7f7f
1 -4 4 e52929
2 -4 4 e52929
0 -3 4 7f7f7f
1 -3 4 e52929
2 -3 4 e52929
0 -2 4 7f7f7f
1 -2 4 e52929
2 -2 4 e52929
3 -2 4 e52929
4 -2 4 e52929
5 -2 4 e52929
0 -1 4 7f7f7f
1 -1 4 e52929
2 -1 4 e52929
3 -1 4 e52929
4 -1 4 e52929
5 -1 4 e52929
0 -6 5 7f7f7f
1 -6 5 e52929
2 -6 5 e52929
0 -5 5 e52929
1 -5 5 e52929
2 -5 5 e52929
0 -4 5 e52929
1 -4 5 e52929
2 -4 5 e52929
3 -4 5 e52929
4 -4 5 e52929
0 -3 5 e52929
1 -3 5 e52929
2 -3 5 e52929
3 -3 5 e52929
4 -3 5 e52929
5 -3 5 e52929
0 -2 5 e52929
1 -2 5 e52929
2 -2 5 e52929
3 -2 5 e52929
4 -2 5 e52929
5 -2 5 e52929
0 -1 5 e52929
1 -1 5 e52929
2 -1 5 e52929
3 -1 5 e52929
4 -1 5 e52929
5 -1 5 e52929
0 -7 6 7f7f7f
1 -7 6 e52929
2 -7 6 e52929
0 -6 6 e52929
1 -6 6 e52929
2 -6 6 e52929
0 -5 6 e52929
1 -5 6 e52929
2 -5 6 e52929
0 -4 6 e52929
1 -4 6 e52929
2 -4 6 e52929
3 -4 6 e52929
4 -4 6 e52929
5 -4 6 e52929
0 -3 6 e52929
1 -3 6 e52929
2 -3 6 e52929
3 -3 6 e52929
4 -3 6 e52929
5 -3 6 e52929
0 -2 6 e52929
1 -2 6 e52929
2 -2 6 e52929
3 -2 6 e52929
4 -2 6 e52929
5 -2 6 e52929
0 -1 6 e52929
1 -1 6 e52929
2 -1 6 e52929
3 -1 6 e52929
4 -1 6 e52929
5 -1 6 e52929
3 -9 7 ff9000
0 -7 7 7f7f7f
1 -7 7 e52929
2 -7 7 e52929
0 -6 7 e52929
1 -6 7 e52929
2 -6 7 e52929
0 -5 7 e52929
1 -5 7 e52929
2 -5 7 e52929
0 -4 7 e52929
1 -4 7 e52929
2 -4 7 e52929
3 -4 7 e52929
4 -4 7 e52929
5 -4 7 e52929
0 -3 7 e52929
1 -3 7 e52929
2 -3 7 e52929
3 -3 7 e52929
4 -3 7 e52929
5 -3 7 e52929
0 -2 7 e52929
1 -2 7 e52929
2 -2 7 e52929
3 -2 7 e52929
4 -2 7 e52929
5 -2 7 e52929
0 -1 7 e52929
1 -1 7 e52929
2 -1 7 e52929
3 -1 7 e52929
4 -1 7 e52929
5 -1 7 e52929
3 -9 8 e52929
3 -8 8 e52929
0 -7 8 7f7f7f
1 -7 8 e52929
2 -7 8 e52929
0 -6 8 e52929
1 -6 8 e52929
2 -6 8 e52929
0 -5 8 e52929
1 -5 8 e52929
2 -5 8 e52929
0 -4 8 e52929
1 -4 8 e52929
2 -4 8 e52929
3 -4 8 e52929
4 -4 8 e52929
0 -3 8 e52929
1 -3 8 e52929
2 -3 8 e52929
3 -3 8 e52929
4 -3 8 e52929
5 -3 8 e52929
0 -2 8 e52929
1 -2 8 e52929
2 -2 8 e52929
3 -2 8 e52929
4 -2 8 e52929
5 -2 8 e52929
0 -1 8 e52929
1 -1 8 e52929
2 -1 8 e52929
3 -1 8 e52929
4 -1 8 e52929
3 -9 9 e52929
3 -8 9 e52929
0 -7 9 7f7f7f
1 -7 9 e52929
2 -7 9 e52929
3 -7 9 e52929
0 -6 9 e52929
1 -6 9 e52929
2 -6 9 e52929
0 -5 9 e52929
1 -5 9 e52929
2 -5 9 e52929
0 -4 9 e52929
1 -4 9 e52929
2 -4 9 e52929
0 -3 9 e52929
1 -3 9 e52929
2 -3 9 e52929
0 -2 9 e52929
1 -2 9 e52929
2 -2 9 e52929
0 -1 9 e52929
1 -1 9 e52929
2 -1 9 e52929
3 -8 10 e52929
0 -7 10 7f7f7f
1 -7 10 e52929
2 -7 10 e52929
3 -7 10 e52929
0 -6 10 e52929
1 -6 10 e52929
2 -6 10 e52929
0 -5 10 e52929
1 -5 10 e52929
2 -5 10 e52929
0 -4 10 e52929
1 -4 10 e52929
2 -4 10 e52929
0 -3 10 e52929
1 -3 10 e52929
2 -3 10 e52929
0 -2 10 e52929
1 -2 10 e52929
2 -2 10 e52929
0 -1 10 e52929
1 -1 10 e52929
2 -1 10 e52929
0 -7 11 7f7f7f
1 -7 11 e52929
2 -7 11 e52929
0 -6 11 e52929
1 -6 11 e52929
2 -6 11 e52929
0 -5 11 e52929
1 -5 11 e52929
2 -5 11 e52929
0 -4 11 e52929
1 -4 11 e52929
2 -4 11 e52929
0 -3 11 e52929
1 -3 11 e52929
2 -3 11 e52929
0 -2 11 e52929
1 -2 11 e52929
2 -2 11 e52929
0 -1 11 e52929
1 -1 11 e52929
0 -8 12 7f7f7f
0 -7 12 e52929
1 -7 12 e52929
2 -7 12 e52929
0 -6 12 e52929
1 -6 12 e52929
2 -6 12 e52929
0 -5 12 e52929
1 -5 12 e52929
2 -5 12 e52929
0 -4 12 e52929
1 -4 12 e52929
0 -3 12 ff9000
0 -1 12 ff9000
0 -12 13 7f7f7f
1 -12 13 7f7f7f
0 -11 13 7f7f7f
1 -11 13 7f7f7f
0 -10 13 7f7f7f
1 -10 13 7f7f7f
0 -9 13 7f7f7f
1 -9 13 7f7f7f
0 -8 13 7f7f7f
1 -8 13 7f7f7f
0 -7 13 e52929
1 -7 13 e52929
2 -7 13 e52929
0 -6 13 e52929
1 -6 13 e52929
2 -6 13 e52929
0 -5 13 e52929
1 -5 13 e52929
0 -12 14 e52929
1 -12 14 e52929
0 -11 14 e52929
1 -11 14 e52929
2 -11 14 e52929
0 -10 14 e52929
1 -10 14 7f7f7f
0 -9 14 e52929
1 -9 14 7f7f7f
0 -8 14 e52929
1 -8 14 7f7f7f
2 -8 14 e52929
0 -7 14 e52929
1 -7 14 e52929
2 -7 14 e52929
0 -6 14 e52929
1 -6 14 e52929
2 -6 14 e52929
0 -5 14 e52929
1 -5 14 e52929
0 -4 14 ff9000
0 -12 15 e52929
1 -12 15 e52929
0 -11 15 e52929
1 -11 15 e52929
2 -11 15 e52929
0 -10 15 e52929
1 -10 15 e52929
2 -10 15 e52929
0 -9 15 e52929
1 -9 15 7f7f7f
2 -9 15 e52929
3 -9 15 ffe900
0 -8 15 e52929
1 -8 15 e52929
2 -8 15 e52929
3 -8 15 ffe900
0 -7 15 e52929
1 -7 15 e52929
2 -7 15 e52929
3 -7 15 e52929
0 -6 15 e52929
1 -6 15 e52929
2 -6 15 e52929
3 -6 15 e52929
0 -5 15 e52929
1 -5 15 e52929
2 -5 15 e52929
-6 0 2 e52929
-5 0 2 e52929
-4 0 2 e52929
-6 0 3 e52929
-5 0 3 e52929
-4 0 3 e52929
-6 0 4 e52929
-5 0 4 e52929
-4 0 4 e52929
-3 0 4 e52929
-2 0 4 e52929
-1 0 4 7f7f7f
-3 0 5 e52929
-2 0 5 e52929
-1 0 5 e52929
-3 1 5 e52929
-2 1 5 e52929
-1 1 5 7f7f7f
-3 2 5 e52929
-2 2 5 e52929
-1 2 5 7f7f7f
-2 3 5 e52929
-1 3 5 7f7f7f
-1 4 5 7f7f7f
-3 0 6 e52929
-2 0 6 e52929
-1 0 6 e52929
-3 1 6 e52929
-2 1 6 e52929
-1 1 6 e52929
-3 2 6 e52929
-2 2 6 e52929
-1 2 6 e52929
-3 3 6 e52929
-2 3 6 e52929
-1 3 6 e52929
-2 4 6 e52929
-1 4 6 e52929
-1 5 6 7f7f7f
-3 0 7 e52929
-2 0 7 e52929
-1 0 7 e52929
-3 1 7 e52929
-2 1 7 e52929
-1 1 7 e52929
-2 2 7 e52929
-1 2 7 e52929
-2 3 7 e52929
-1 3 7 e52929
-2 4 7 e52929
-1 4 7 e52929
-2 5 7 e52929
-1 5 7 e52929
-1 6 7 7f7f7f
-3 0 8 e52929
-2 0 8 e52929
-1 0 8 e52929
-2 1 8 e52929
-1 1 8 e52929
-1 3 8 ff9000
-1 5 8 e52929
-1 6 8 7f7f7f
-2 0 9 e52929
-1 0 9 e52929
-1 1 9 ff9000
-1 6 9 7f7f7f
-1 0 10 e52929
3 0 2 e52929
4 0 2 e52929
5 0 2 e52929
3 0 3 e52929
4 0 3 e52929
5 0 3 e52929
0 0 4 7f7f7f
1 0 4 e52929
2 0 4 e52929
3 0 4 e52929
4 0 4 e52929
5 0 4 e52929
0 0 5 e52929
1 0 5 e52929
2 0 5 e52929
0 1 5 7f7f7f
1 1 5 e52929
2 1 5 e52929
0 2 5 7f7f7f
1 2 5 e52929
2 2 5 e52929
0 3 5 7f7f7f
1 3 5 e52929
0 4 5 7f7f7f
0 0 6 e52929
1 0 6 e52929
2 0 6 e52929
0 1 6 e52929
1 1 6 e52929
2 1 6 e52929
0 2 6 e52929
1 2 6 e52929
2 2 6 e52929
0 3 6 e52929
1 3 6 e52929
2 3 6 e52929
0 4 6 e52929
1 4 6 e52929
0 5 6 7f7f7f
0 0 7 e52929
1 0 7 e52929
2 0 7 e52929
0 1 7 e52929
1 1 7 e52929
2 1 7 e52929
0 2 7 e52929
1 2 7 e52929
0 3 7 e52929
1 3 7 e52929
0 4 7 e52929
1 4 7 e52929
0 5 7 e52929
1 5 7 e52929
0 6 7 7f7f7f
0 0 8 e52929
1 0 8 e52929
2 0 8 e52929
0 1 8 e52929
1 1 8 e52929
0 3 8 ff9000
0 5 8 e52929
0 6 8 7f7f7f
0 0 9 e52929
1 0 9 e52929
0 1 9 ff9000
0 6 9 7f7f7f
0 0 10 e52929
-2 -12 16 e52929
-1 -12 16 e52929
-3 -11 16 e52929
-2 -11 16 e52929
-1 -11 16 e52929
-3 -10 16 e52929
-2 -10 16 e52929
-1 -10 16 e52929
-4 -9 16 ffe900
-3 -9 16 e52929
-2 -9 16 e52929
-1 -9 16 e52929
-4 -8 16 ffe900
-3 -8 16 e52929
-2 -8 16 e52929
-1 -8 16 e52929
-4 -7 16 e52929
-3 -7 16 e52929
-2 -7 16 e52929
-1 -7 16 e52929
-4 -6 16 e52929
-3 -6 16 e52929
-2 -6 16 e52929
-1 -6 16 e52929
-3 -5 16 e52929
-2 -5 16 e52929
-1 -5 16 e52929
-1 -4 16 ff9000
-2 -12 17 e52929
-1 -12 17 e52929
-3 -11 17 e52929
-2 -11 17 e52929
-1 -11 17 e52929
-4 -10 17 e52929
-3 -10 17 e52929
-2 -10 17 e52929
-1 -10 17 e52929
-4 -9 17 e52929
-3 -9 17 e52929
-2 -9 17 e52929
-1 -9 17 e52929
-4 -8 17 e52929
-3 -8 17 e52929
-2 -8 17 e52929
-1 -8 17 e52929
-4 -7 17 e52929
-3 -7 17 e52929
-2 -7 17 e52929
-1 -7 17 e52929
-3 -6 17 e52929
-2 -6 17 e52929
-1 -6 17 e52929
-3 -5 17 e52929
-2 -5 17 e52929
-1 -5 17 e52929
-2 -12 18 e52929
-1 -12 18 e52929
-3 -11 18 e52929
-2 -11 18 e52929
-1 -11 18 e52929
-3 -10 18 e52929
-2 -10 18 e52929
-1 -10 18 e52929
-4 -9 18 7f7f7f
-3 -9 18 e52929
-2 -9 18 e52929
-1 -9 18 e52929
-5 -8 18 7f7f7f
-4 -8 18 7f7f7f
-3 -8 18 e52929
-2 -8 18 e52929
-1 -8 18 e52929
-5 -7 18 7f7f7f
-3 -7 18 e52929
-2 -7 18 e52929
-1 -7 18 e52929
-2 -6 18 e52929
-1 -6 18 e52929
-1 -5 18 ff9000
-1 -11 19 ff9000
-1 -9 19 ff9000
-5 -7 19 7f7f7f
-1 -7 19 ff9000
0 -12 16 e52929
1 -12 16 e52929
0 -11 16 e52929
1 -11 16 e52929
2 -11 16 e52929
0 -10 16 e52929
1 -10 16 e52929
2 -10 16 e52929
0 -9 16 e52929
1 -9 16 e52929
2 -9 16 e52929
3 -9 16 ffe900
0 -8 16 e52929
1 -8 16 e52929
2 -8 16 e52929
3 -8 16 ffe900
0 -7 16 e52929
1 -7 16 e52929
2 -7 16 e52929
3 -7 16 e52929
0 -6 16 e52929
1 -6 16 e52929
2 -6 16 e52929
3 -6 16 e52929
0 -5 16 e52929
1 -5 16 e52929
2 -5 16 e52929
0 -4 16 ff9000
0 -12 17 e52929
1 -12 17 e52929
0 -11 17 e52929
1 -11 17 e52929
2 -11 17 e52929
0 -10 17 e52929
1 -10 17 e52929
2 -10 17 e52929
3 -10 17 e52929
0 -9 17 e52929
1 -9 17 e52929
2 -9 17 e52929
3 -9 17 e52929
0 -8 17 e52929
1 -8 17 e52929
2 -8 17 e52929
3 -8 17 e52929
0 -7 17 e52929
1 -7 17 e52929
2 -7 17 e52929
3 -7 17 e52929
0 -6 17 e52929
1 -6 17 e52929
2 -6 17 e52929
0 -5 17 e52929
1 -5 17 e52929
2 -5 17 e52929
0 -12 18 e52929
1 -12 18 e52929
0 -11 18 e52929
1 -11 18 e52929
2 -11 18 e52929
0 -10 18 e52929
1 -10 18 e52929
2 -10 18 e52929
0 -9 18 e52929
1 -9 18 e52929
2 -9 18 e52929
3 -9 18 7f7f7f
0 -8 18 e52929
1 -8 18 e52929
2 -8 18 e52929
3 -8 18 7f7f7f
4 -8 18 7f7f7f
0 -7 18 e52929
1 -7 18 e52929
2 -7 18 e52929
4 -7 18 7f7f7f
0 -6 18 e52929
1 -6 18 e52929
0 -5 18 ff9000
0 -11 19 ff9000
0 -9 19 ff9000
0 -7 19 ff9000
4 -7 19 7f7f7f
